Java HotSpot(TM) 64-Bit Server VM (25.171-b11) for windows-amd64 JRE (1.8.0_171-b11), built on Mar 28 2018 16:06:12 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16628416k(9554324k free), swap 19905216k(12933048k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=629145600 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.621: [GC (Allocation Failure) 0.621: [DefNew: 959K->63K(960K), 0.0009708 secs] 39004K->38338K(524224K), 0.0010059 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.624: [GC (Allocation Failure) 0.624: [DefNew: 959K->63K(960K), 0.0016410 secs] 39234K->38763K(524224K), 0.0016987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.628: [GC (Allocation Failure) 0.628: [DefNew: 959K->63K(960K), 0.0019434 secs] 39660K->39193K(524224K), 0.0019978 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.632: [GC (Allocation Failure) 0.632: [DefNew: 959K->64K(960K), 0.0017527 secs] 40090K->39501K(524224K), 0.0018052 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.636: [GC (Allocation Failure) 0.636: [DefNew: 960K->64K(960K), 0.0019642 secs] 40397K->39865K(524224K), 0.0020303 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.639: [GC (Allocation Failure) 0.639: [DefNew: 960K->63K(960K), 0.0011520 secs] 40762K->40189K(524224K), 0.0011988 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.642: [GC (Allocation Failure) 0.642: [DefNew: 959K->64K(960K), 0.0012585 secs] 41086K->40451K(524224K), 0.0013061 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.645: [GC (Allocation Failure) 0.645: [DefNew: 960K->63K(960K), 0.0014971 secs] 41349K->40880K(524224K), 0.0015462 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.648: [GC (Allocation Failure) 0.648: [DefNew: 959K->64K(960K), 0.0014548 secs] 41777K->41298K(524224K), 0.0014982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.651: [GC (Allocation Failure) 0.651: [DefNew: 960K->63K(960K), 0.0019842 secs] 42196K->41656K(524224K), 0.0020337 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
